direction,slice,function,base,test
onto,diffutils::O0::sdiff,diraccess,0.5,1.0
onto,diffutils::O2-noinline::sdiff,ck_fclose,0.0,1.0
onto,diffutils::O2-noinline::sdiff,ck_fflush,0.0,1.0
onto,diffutils::O2-noinline::sdiff,diraccess,0.5,1.0
onto,diffutils::O2::sdiff,diraccess,0.5,1.0
onto,findutils::O0::find,fallback_stat,0.6666666666666666,1.0
onto,findutils::O0::find,looks_like_expression,0.5,1.0
onto,findutils::O0::find,matches_start_point,0.75,1.0
onto,findutils::O0::find,stream_is_tty,0.5,1.0
onto,grep::O0::grep,exclude_options,0.0,1.0
onto,grep::O2-noinline::grep,exclude_options,0.0,1.0
onto,gzip::O0::gzip,display_ratio,0.6666666666666666,1.0
onto,gzip::O0::gzip,gettime,0.0,1.0
onto,gzip::O0::gzip,opendir_safer,0.6666666666666666,1.0
onto,gzip::O0::gzip,rpl_fseeko,0.75,1.0
onto,gzip::O2-noinline::gzip,gettime,0.0,1.0
onto,shadow::O0::groupadd,main,0.5,1.0
onto,shadow::O0::login,setup_tty,0.6666666666666666,1.0
onto,shadow::O0::newusers,get_user_id,0.6666666666666666,1.0
onto,shadow::O0::useradd,main,0.8333333333333334,1.0
onto,shadow::O0::userdel,is_owner,0.6666666666666666,1.0
onto,shadow::O0::usermod,move_home,0.0,1.0
onto,shadow::O0::usermod,move_mailbox,0.8333333333333334,1.0
onto,shadow::O2-noinline::userdel,is_owner,0.6666666666666666,1.0
onto,shadow::O2::userdel,is_owner,0.6666666666666666,1.0
onto,tar::O0::tar,archive_is_dev,0.0,1.0
onto,tar::O0::tar,change_tape_menu,0.8333333333333334,1.0
onto,tar::O0::tar,checkpoint_run,0.0,1.0
onto,tar::O0::tar,deref_stat,0.5,1.0
onto,tar::O0::tar,fd_stat,0.75,1.0
onto,tar::O0::tar,guess_seekable_archive,0.0,1.0
onto,tar::O0::tar,is_directory_link,0.75,1.0
onto,tar::O0::tar,is_regular_file,0.5,1.0
onto,tar::O0::tar,main,0.5,1.0
onto,tar::O0::tar,sys_wait_for_child,0.75,1.0
onto,tar::O0::tar,xattrs_kw_included,0.5,1.0
onto,tar::O2-noinline::tar,archive_is_dev,0.0,1.0
onto,tar::O2-noinline::tar,checkpoint_run,0.0,1.0
onto,tar::O2-noinline::tar,deref_stat,0.5,1.0
onto,tar::O2-noinline::tar,fd_stat,0.75,1.0
onto,tar::O2-noinline::tar,guess_seekable_archive,0.0,1.0
onto,tar::O2-noinline::tar,is_regular_file,0.5,1.0
onto,tar::O2-noinline::tar,main,0.5,1.0
onto,tar::O2-noinline::tar,sys_wait_for_child,0.75,1.0
onto,tar::O2::tar,sys_wait_for_child,0.75,1.0
off,coreutils::O0::factor,powm2,1.0,0.7142857142857143
better,bzip2::O0::bzip2,BZ2_bzReadOpen,0.625,0.75
better,bzip2::O0::bzip2,BZ2_bzWriteOpen,0.7142857142857143,0.8571428571428571
better,bzip2::O0::bzip2,BZ2_bzclose,0.3333333333333333,0.6666666666666666
better,bzip2::O0::bzip2,bzopen_or_bzdopen,0.6666666666666666,0.7333333333333333
better,bzip2::O0::bzip2,compress,0.42857142857142855,0.8571428571428571
better,bzip2::O0::bzip2,compressStream,0.6842105263157895,0.7894736842105263
better,bzip2::O0::bzip2,main,0.5555555555555556,0.6666666666666666
better,bzip2::O0::bzip2,testStream,0.5,0.5833333333333334
better,bzip2::O0::bzip2,testf,0.25,0.75
better,bzip2::O0::bzip2,uncompress,0.6,0.9
better,bzip2::O0::bzip2,uncompressStream,0.5333333333333333,0.6666666666666666
better,bzip2::O0::bzip2recover,main,0.7222222222222222,0.8333333333333334
better,bzip2::O2-noinline::bzip2,BZ2_bzReadOpen,0.5,0.625
better,bzip2::O2-noinline::bzip2,BZ2_bzWriteOpen,0.5714285714285714,0.7142857142857143
better,bzip2::O2-noinline::bzip2,cleanUpAndFail,0.1,0.2
better,bzip2::O2-noinline::bzip2,compress,0.041666666666666664,0.08333333333333333
better,bzip2::O2-noinline::bzip2,compressStream,0.3076923076923077,0.38461538461538464
better,bzip2::O2-noinline::bzip2,main,0.07692307692307693,0.15384615384615385
better,bzip2::O2-noinline::bzip2,myfeof,0.0,0.5
better,bzip2::O2-noinline::bzip2,testStream,0.17647058823529413,0.23529411764705882
better,bzip2::O2-noinline::bzip2,testf,0.0,0.09090909090909091
better,bzip2::O2-noinline::bzip2,uncompress,0.0,0.034482758620689655
better,bzip2::O2-noinline::bzip2,uncompressStream,0.18181818181818182,0.2727272727272727
better,bzip2::O2-noinline::bzip2recover,main,0.07894736842105263,0.13157894736842105
better,bzip2::O2::bzip2,BZ2_bzReadOpen,0.5,0.625
better,bzip2::O2::bzip2,cleanUpAndFail,0.09090909090909091,0.18181818181818182
better,bzip2::O2::bzip2,compress,0.018518518518518517,0.05555555555555555
better,bzip2::O2::bzip2,compressStream,0.2962962962962963,0.3333333333333333
better,bzip2::O2::bzip2,main,0.058823529411764705,0.11764705882352941
better,bzip2::O2::bzip2,testStream,0.15789473684210525,0.21052631578947367
better,bzip2::O2::bzip2,testf,0.0,0.06666666666666667
better,bzip2::O2::bzip2,uncompress,0.017241379310344827,0.05172413793103448
better,bzip2::O2::bzip2,uncompressStream,0.15384615384615385,0.23076923076923078
better,bzip2::O2::bzip2recover,main,0.06818181818181818,0.11363636363636363
better,coreutils::O0::[,binary_operator,0.47619047619047616,0.6190476190476191
better,coreutils::O0::[,get_mtime,0.5,0.75
better,coreutils::O0::[,main,0.3333333333333333,0.6666666666666666
better,coreutils::O0::[,unary_operator,0.5555555555555556,0.6666666666666666
better,coreutils::O0::basename,main,0.6666666666666666,0.8333333333333334
better,coreutils::O0::basename,perform_basename,0.0,0.25
better,coreutils::O0::cat,cat,0.7142857142857143,0.7619047619047619
better,coreutils::O0::cat,main,0.6153846153846154,0.6923076923076923
better,coreutils::O0::chcon,hash_find_entry,0.0,0.1
better,coreutils::O0::chcon,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::chcon,process_file,0.0,0.14285714285714285
better,coreutils::O0::chcon,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::chgrp,change_file_owner,0.45454545454545453,0.5454545454545454
better,coreutils::O0::chgrp,hash_find_entry,0.0,0.1
better,coreutils::O0::chgrp,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::chgrp,main,0.6666666666666666,0.75
better,coreutils::O0::chgrp,restricted_chown,0.8333333333333334,0.9166666666666666
better,coreutils::O0::chgrp,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::chmod,hash_find_entry,0.0,0.1
better,coreutils::O0::chmod,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::chmod,mode_changed,0.6666666666666666,0.8333333333333334
better,coreutils::O0::chmod,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::chown,change_file_owner,0.45454545454545453,0.5454545454545454
better,coreutils::O0::chown,hash_find_entry,0.0,0.1
better,coreutils::O0::chown,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::chown,main,0.5555555555555556,0.6111111111111112
better,coreutils::O0::chown,restricted_chown,0.8333333333333334,0.9166666666666666
better,coreutils::O0::chown,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::chroot,main,0.6538461538461539,0.7307692307692307
better,coreutils::O0::chroot,parse_additional_groups,0.5833333333333334,0.75
better,coreutils::O0::cksum,cksum_pclmul,0.8095238095238095,0.8333333333333334
better,coreutils::O0::cksum,cksum_slice8,0.7272727272727273,0.8181818181818182
better,coreutils::O0::cksum,output_crc,0.25,0.375
better,coreutils::O0::comm,writeline,0.3333333333333333,0.6666666666666666
better,coreutils::O0::cp,copy,0.2,0.3
better,coreutils::O0::cp,copy_dir,0.15,0.25
better,coreutils::O0::cp,copy_internal,0.49206349206349204,0.5714285714285714
better,coreutils::O0::cp,copy_reg,0.6,0.6857142857142857
better,coreutils::O0::cp,create_hole,0.6,0.8
better,coreutils::O0::cp,do_copy,0.46875,0.53125
better,coreutils::O0::cp,follow_fstatat,0.42857142857142855,0.5714285714285714
better,coreutils::O0::cp,hash_find_entry,0.0,0.1
better,coreutils::O0::cp,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::cp,main,0.4166666666666667,0.5833333333333334
better,coreutils::O0::cp,make_dir_parents_private,0.64,0.72
better,coreutils::O0::cp,restorecon_private,0.38461538461538464,0.46153846153846156
better,coreutils::O0::cp,same_file_ok,0.4375,0.8125
better,coreutils::O0::cp,set_file_security_ctx,0.4,0.6
