slice,function,round_b,round_c,delta
tar::O0::tar,decx,0.1667,0.3333,0.1667
tar::O0::tar,dump_dir0,0.7647,0.8824,0.1176
tar::O0::tar,dump_file0,0.6111,0.6667,0.0556
tar::O0::tar,dumpdir_coder,0.0,0.25,0.25
tar::O0::tar,dumpdir_create,0.0,1.0,1.0
tar::O0::tar,excluded_name,0.4286,0.5714,0.1429
tar::O0::tar,exclusion_tag_warning,0.0,0.3333,0.3333
tar::O0::tar,extract_dir,0.7,0.8,0.1
tar::O0::tar,extract_fifo,0.5,0.75,0.25
tar::O0::tar,extract_file,0.8,0.8667,0.0667
tar::O0::tar,extract_node,0.5,0.75,0.25
tar::O0::tar,extract_symlink,0.6667,1.0,0.3333
tar::O0::tar,file_newer_p,0.0,0.25,0.25
tar::O0::tar,find_compression_program,0.0,0.3333,0.3333
tar::O0::tar,find_directory,0.0,0.25,0.25
tar::O0::tar,from_header,0.7143,0.75,0.0357
tar::O0::tar,get_stat_data,0.3333,1.0,0.6667
tar::O0::tar,gid_coder,0.0,0.25,0.25
tar::O0::tar,gid_decoder,0.2,0.6,0.4
tar::O0::tar,gid_from_header,0.5,1.0,0.5
tar::O0::tar,gname_coder,0.0,0.25,0.25
tar::O0::tar,gname_decoder,0.25,0.5,0.25
tar::O0::tar,group_map_read,0.0,1.0,1.0
tar::O0::tar,handle_file_selection_option,0.6667,1.0,0.3333
tar::O0::tar,hash_directory_canonical_name,0.3333,0.6667,0.3333
tar::O0::tar,hash_directory_meta,0.3333,0.6667,0.3333
tar::O0::tar,linkpath_coder,0.0,0.25,0.25
tar::O0::tar,linkpath_decoder,0.25,0.5,0.25
tar::O0::tar,major_from_header,0.5,1.0,0.5
tar::O0::tar,make_name,0.0,0.5,0.5
tar::O0::tar,map_read,0.6667,0.7778,0.1111
tar::O0::tar,minor_from_header,0.5,1.0,0.5
tar::O0::tar,mode_from_header,0.6,0.8,0.2
tar::O0::tar,mtime_coder,0.0,0.2,0.2
tar::O0::tar,mtime_decoder,0.2,0.6,0.4
tar::O0::tar,mv_begin_write,0.5,0.75,0.25
tar::O0::tar,name_compare,0.0,0.5,0.5
tar::O0::tar,name_hash,0.3333,0.6667,0.3333
tar::O0::tar,namelist_match,0.3333,0.6667,0.3333
tar::O0::tar,next_decompress_program,0.0,0.5,0.5
tar::O0::tar,note_directory,0.375,0.5,0.125
tar::O0::tar,off_from_header,0.5,1.0,0.5
tar::O0::tar,option_conflict_error,0.0,1.0,1.0
tar::O0::tar,out_of_range_header,0.25,0.5,0.25
tar::O0::tar,owner_map_read,0.0,1.0,1.0
tar::O0::tar,parse_id,0.625,1.0,0.375
tar::O0::tar,parse_opt,0.3333,0.3889,0.0556
tar::O0::tar,path_coder,0.0,0.25,0.25
tar::O0::tar,path_decoder,0.25,0.5,0.25
tar::O0::tar,prepare_to_extract,0.25,0.5,0.25
tar::O0::tar,purge_directory,0.0,1.0,1.0
tar::O0::tar,queue_deferred_unlink,0.2,0.4,0.2
tar::O0::tar,raw_path_decoder,0.0,0.5,0.5
tar::O0::tar,read_num,0.6429,0.7143,0.0714
tar::O0::tar,read_timespec,0.5,0.75,0.25
tar::O0::tar,regex_usage_warning,0.0,0.5,0.5
tar::O0::tar,rename_directory,0.5,1.0,0.5
tar::O0::tar,request_stdin,0.0,1.0,1.0
tar::O0::tar,run_decompress_program,0.2,0.6,0.4
tar::O0::tar,scan_directory,0.3529,0.5882,0.2353
tar::O0::tar,set_compression_program_by_suffix,0.0,0.3333,0.3333
tar::O0::tar,set_mode,0.6667,0.7778,0.1111
tar::O0::tar,set_stat_signal,0.0,1.0,1.0
tar::O0::tar,set_xattr,0.7143,0.8571,0.1429
tar::O0::tar,size_coder,0.0,0.25,0.25
tar::O0::tar,size_decoder,0.4,0.8,0.4
tar::O0::tar,sparse_major_coder,0.0,0.25,0.25
tar::O0::tar,sparse_major_decoder,0.2,0.6,0.4
tar::O0::tar,sparse_map_decoder,0.625,0.75,0.125
tar::O0::tar,sparse_minor_coder,0.0,0.25,0.25
tar::O0::tar,sparse_minor_decoder,0.2,0.6,0.4
tar::O0::tar,sparse_numblocks_coder,0.0,0.25,0.25
tar::O0::tar,sparse_numblocks_decoder,0.4,0.8,0.4
tar::O0::tar,sparse_numbytes_coder,0.0,0.2,0.2
tar::O0::tar,sparse_numbytes_decoder,0.4,0.8,0.4
tar::O0::tar,sparse_offset_coder,0.0,0.2,0.2
tar::O0::tar,sparse_offset_decoder,0.4,0.8,0.4
tar::O0::tar,sparse_path_decoder,0.25,0.5,0.25
tar::O0::tar,sparse_size_coder,0.0,0.25,0.25
tar::O0::tar,sparse_size_decoder,0.4,0.8,0.4
tar::O0::tar,stat_to_env,0.3333,0.6667,0.3333
tar::O0::tar,strip_compression_suffix,0.25,0.5,0.25
tar::O0::tar,sys_exec_command,0.25,0.5,0.25
tar::O0::tar,time_from_header,0.5,1.0,0.5
tar::O0::tar,to_chars_subst,0.7826,0.8696,0.087
tar::O0::tar,try_purge_directory,0.5385,0.6923,0.1538
tar::O0::tar,uid_coder,0.0,0.25,0.25
tar::O0::tar,uid_decoder,0.2,0.6,0.4
tar::O0::tar,uid_from_header,0.5,1.0,0.5
tar::O0::tar,uintmax_from_header,0.5,1.0,0.5
tar::O0::tar,uname_coder,0.0,0.25,0.25
tar::O0::tar,uname_decoder,0.25,0.5,0.25
tar::O0::tar,volume_filename_decoder,0.25,0.5,0.25
tar::O0::tar,volume_label_coder,0.0,0.25,0.25
tar::O0::tar,volume_label_decoder,0.25,0.5,0.25
tar::O0::tar,volume_offset_coder,0.0,0.2,0.2
tar::O0::tar,volume_offset_decoder,0.4,0.8,0.4
tar::O0::tar,volume_size_coder,0.0,0.2,0.2
tar::O0::tar,volume_size_decoder,0.4,0.8,0.4
tar::O0::tar,write_directory_file_entry,0.375,0.5,0.125
tar::O0::tar,xattr_acls_a_coder,0.0,0.25,0.25
tar::O0::tar,xattr_acls_d_coder,0.0,0.25,0.25
tar::O0::tar,xattr_coder,0.0,0.1667,0.1667
tar::O0::tar,xattr_selinux_coder,0.0,0.25,0.25
tar::O0::tar,xattr_selinux_decoder,0.25,0.5,0.25
tar::O0::tar,xattrs__fd_set,0.5,0.625,0.125
tar::O0::tar,xattrs_kw_excluded,0.0,0.5,0.5
tar::O0::tar,xattrs_masked_out,0.5,1.0,0.5
tar::O0::tar,xattrs_selinux_get,0.6,0.8,0.2
tar::O0::tar,xattrs_selinux_set,0.6,0.8,0.2
tar::O0::tar,xattrs_xattrs_get,0.5,0.5833,0.0833
tar::O0::tar,xattrs_xattrs_set,0.5,0.6667,0.1667
tar::O0::tar,xheader_format_name,0.5714,0.6429,0.0714
tar::O0::tar,xheader_list_append,0.0,0.5,0.5
tar::O0::tar,xheader_print,0.3333,0.6667,0.3333
tar::O0::tar,xheader_print_n,0.4,0.5,0.1
tar::O0::tar,xheader_set_single_keyword,0.0,1.0,1.0
tar::O0::tar,xheader_store,0.0,0.25,0.25
tar::O0::tar,xheader_xattr__add,0.3333,0.5,0.1667
tar::O2-noinline::tar,add_starting_file,0.0,0.3333,0.3333
tar::O2-noinline::tar,assign_string,0.0,0.5,0.5
tar::O2-noinline::tar,assign_time_option,0.5,0.75,0.25
tar::O2-noinline::tar,atime_coder,0.0,0.25,0.25
tar::O2-noinline::tar,atime_decoder,0.0,0.4,0.4
tar::O2-noinline::tar,attach_directory,0.0,0.3333,0.3333
tar::O2-noinline::tar,blocking_read,0.2,0.4,0.2
tar::O2-noinline::tar,blocking_write,0.1667,0.3333,0.1667
tar::O2-noinline::tar,check_time,0.0,0.2,0.2
tar::O2-noinline::tar,code_num,0.3333,0.6667,0.3333
tar::O2-noinline::tar,code_string,0.0,0.5,0.5
tar::O2-noinline::tar,compare_directory_canonical_names,0.0,0.5,0.5
tar::O2-noinline::tar,compare_directory_meta,0.0,0.5,0.5
tar::O2-noinline::tar,confirm,0.25,0.375,0.125
tar::O2-noinline::tar,copy_string_unquote,0.0,0.1667,0.1667
tar::O2-noinline::tar,ctime_coder,0.0,0.25,0.25
tar::O2-noinline::tar,ctime_decoder,0.0,0.4,0.4
tar::O2-noinline::tar,cvs_addfn,0.1667,0.3333,0.1667
tar::O2-noinline::tar,decg,0.1667,0.5,0.3333
tar::O2-noinline::tar,decode_string,0.0,0.5,0.5
tar::O2-noinline::tar,decode_time,0.4,0.6,0.2
tar::O2-noinline::tar,decx,0.1667,0.3333,0.1667
tar::O2-noinline::tar,dump_file0,0.2778,0.3333,0.0556
tar::O2-noinline::tar,dumpdir_coder,0.0,0.25,0.25
tar::O2-noinline::tar,dumpdir_create,0.0,1.0,1.0
tar::O2-noinline::tar,exclusion_tag_warning,0.0,1.0,1.0
tar::O2-noinline::tar,extract_dir,0.2,0.3,0.1
tar::O2-noinline::tar,extract_fifo,0.25,0.5,0.25
tar::O2-noinline::tar,extract_file,0.3571,0.4286,0.0714
tar::O2-noinline::tar,extract_node,0.25,0.5,0.25
tar::O2-noinline::tar,extract_symlink,0.3333,0.6667,0.3333
tar::O2-noinline::tar,file_removed_diag,0.3333,0.6667,0.3333
tar::O2-noinline::tar,find_compression_program,0.0,0.3333,0.3333
tar::O2-noinline::tar,find_directory,0.0,0.25,0.25
tar::O2-noinline::tar,from_header,0.1481,0.1852,0.037
tar::O2-noinline::tar,get_stat_data,0.0,0.6667,0.6667
tar::O2-noinline::tar,gid_coder,0.0,0.25,0.25
tar::O2-noinline::tar,gid_decoder,0.0,0.4,0.4
tar::O2-noinline::tar,gname_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,group_map_read,0.0,1.0,1.0
tar::O2-noinline::tar,handle_file_selection_option,0.3333,0.6667,0.3333
tar::O2-noinline::tar,hash_directory_canonical_name,0.0,0.3333,0.3333
tar::O2-noinline::tar,hash_directory_meta,0.3333,0.6667,0.3333
tar::O2-noinline::tar,linkpath_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,make_name,0.0,0.5,0.5
tar::O2-noinline::tar,mtime_coder,0.0,0.2,0.2
tar::O2-noinline::tar,mtime_decoder,0.0,0.4,0.4
tar::O2-noinline::tar,mv_begin_write,0.5,0.75,0.25
tar::O2-noinline::tar,name_compare,0.0,0.5,0.5
tar::O2-noinline::tar,name_hash,0.0,0.3333,0.3333
tar::O2-noinline::tar,name_match,0.0,0.5,0.5
tar::O2-noinline::tar,name_scan,0.0,0.5,0.5
tar::O2-noinline::tar,next_decompress_program,0.0,0.5,0.5
tar::O2-noinline::tar,note_directory,0.375,0.5,0.125
tar::O2-noinline::tar,off_from_header,0.5,1.0,0.5
tar::O2-noinline::tar,option_conflict_error,0.0,1.0,1.0
tar::O2-noinline::tar,out_of_range_header,0.25,0.5,0.25
tar::O2-noinline::tar,owner_map_read,0.0,1.0,1.0
tar::O2-noinline::tar,path_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,prepare_to_extract,0.25,0.5,0.25
tar::O2-noinline::tar,print_for_mkdir,0.3333,0.5,0.1667
tar::O2-noinline::tar,queue_deferred_unlink,0.0,0.2,0.2
tar::O2-noinline::tar,quote_n_colon,0.5,1.0,0.5
tar::O2-noinline::tar,raw_path_decoder,0.0,0.5,0.5
tar::O2-noinline::tar,read_num,0.2857,0.3571,0.0714
tar::O2-noinline::tar,read_timespec,0.5,0.75,0.25
tar::O2-noinline::tar,regex_usage_warning,0.0,0.5,0.5
tar::O2-noinline::tar,rename_directory,0.25,0.75,0.5
tar::O2-noinline::tar,repair_delayed_set_stat,0.25,0.5,0.25
tar::O2-noinline::tar,request_stdin,0.0,1.0,1.0
tar::O2-noinline::tar,set_mode,0.6667,0.7778,0.1111
tar::O2-noinline::tar,set_stat_signal,0.0,1.0,1.0
tar::O2-noinline::tar,sparse_map_decoder,0.25,0.375,0.125
tar::O2-noinline::tar,sparse_numbytes_decoder,0.2,0.6,0.4
tar::O2-noinline::tar,sparse_offset_decoder,0.2,0.4,0.2
tar::O2-noinline::tar,sparse_path_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,stat_to_env,0.3333,0.6667,0.3333
tar::O2-noinline::tar,strip_compression_suffix,0.1429,0.2857,0.1429
tar::O2-noinline::tar,sys_exec_checkpoint_script,0.5,0.6667,0.1667
tar::O2-noinline::tar,sys_exec_command,0.25,0.5,0.25
tar::O2-noinline::tar,tar_savedir,0.125,0.25,0.125
tar::O2-noinline::tar,to_chars_subst,0.3043,0.3478,0.0435
tar::O2-noinline::tar,try_purge_directory,0.0769,0.1538,0.0769
tar::O2-noinline::tar,uid_coder,0.0,0.25,0.25
tar::O2-noinline::tar,uid_decoder,0.0,0.4,0.4
tar::O2-noinline::tar,uintmax_from_header,0.5,1.0,0.5
tar::O2-noinline::tar,uname_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,unknown_file_error,0.0,1.0,1.0
tar::O2-noinline::tar,volume_filename_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,volume_label_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,write_directory_file_entry,0.0,0.1667,0.1667
tar::O2-noinline::tar,xattr_acls_a_coder,0.0,0.25,0.25
tar::O2-noinline::tar,xattr_acls_d_coder,0.0,0.25,0.25
tar::O2-noinline::tar,xattr_coder,0.0,0.1667,0.1667
tar::O2-noinline::tar,xattr_selinux_decoder,0.0,0.25,0.25
tar::O2-noinline::tar,xattrs_masked_out,0.5,1.0,0.5
tar::O2-noinline::tar,xattrs_selinux_get,0.2,0.4,0.2
tar::O2-noinline::tar,xattrs_selinux_set,0.2,0.4,0.2
tar::O2-noinline::tar,xattrs_xattrs_get,0.25,0.3333,0.0833
tar::O2-noinline::tar,xattrs_xattrs_set,0.3333,0.5,0.1667
tar::O2-noinline::tar,xexec,0.5,1.0,0.5
tar::O2-noinline::tar,xheader_list_append,0.0,0.5,0.5
tar::O2-noinline::tar,xheader_print,0.3333,0.6667,0.3333
tar::O2-noinline::tar,xheader_print_n,0.2,0.3,0.1
tar::O2-noinline::tar,xheader_set_single_keyword,0.0,1.0,1.0
tar::O2-noinline::tar,xheader_store,0.0,0.25,0.25
tar::O2-noinline::tar,xheader_xattr__add,0.4,0.6,0.2
tar::O2::tar,add_starting_file,0.0,0.2,0.2
tar::O2::tar,addname,0.2857,0.4286,0.1429
tar::O2::tar,assign_time_option,0.3333,0.5,0.1667
tar::O2::tar,atime_coder,0.0,0.1429,0.1429
tar::O2::tar,atime_decoder,0.0,0.4,0.4
tar::O2::tar,blocking_read,0.2,0.4,0.2
tar::O2::tar,blocking_write,0.1667,0.3333,0.1667
tar::O2::tar,check_time,0.0,0.1667,0.1667
tar::O2::tar,code_string,0.1429,0.4286,0.2857
tar::O2::tar,compare_directory_canonical_names,0.0,0.5,0.5
tar::O2::tar,compare_directory_meta,0.0,0.5,0.5
tar::O2::tar,confirm,0.0909,0.2727,0.1818
tar::O2::tar,copy_string_unquote,0.0,0.1667,0.1667
tar::O2::tar,ctime_coder,0.0,0.1429,0.1429
tar::O2::tar,ctime_decoder,0.0,0.4,0.4
tar::O2::tar,cvs_addfn,0.1667,0.3333,0.1667
tar::O2::tar,decg,0.1,0.3,0.2
tar::O2::tar,decode_time,0.3333,0.5,0.1667
tar::O2::tar,dump_file0,0.087,0.1087,0.0217
tar::O2::tar,dumpdir_coder,0.0,0.25,0.25
tar::O2::tar,extract_fifo,0.25,0.5,0.25
tar::O2::tar,extract_node,0.25,0.5,0.25
tar::O2::tar,extract_symlink,0.3333,0.6667,0.3333
tar::O2::tar,file_removed_diag,0.3333,0.6667,0.3333
tar::O2::tar,find_directory,0.0,0.25,0.25
tar::O2::tar,from_header,0.1481,0.1852,0.037
tar::O2::tar,gid_coder,0.0,0.1111,0.1111
tar::O2::tar,gid_decoder,0.0,0.4,0.4
tar::O2::tar,gname_decoder,0.0,0.1667,0.1667
tar::O2::tar,group_map_read,0.0,1.0,1.0
tar::O2::tar,hash_directory_canonical_name,0.0,0.3333,0.3333
tar::O2::tar,hash_directory_meta,0.3333,0.6667,0.3333
tar::O2::tar,linkpath_decoder,0.0,0.1667,0.1667
tar::O2::tar,mtime_coder,0.0,0.125,0.125
tar::O2::tar,mtime_decoder,0.0,0.4,0.4
tar::O2::tar,name_compare,0.0,0.5,0.5
tar::O2::tar,name_hash,0.0,0.3333,0.3333
tar::O2::tar,name_match,0.0,0.5,0.5
tar::O2::tar,name_scan,0.0,1.0,1.0
tar::O2::tar,note_directory,0.25,0.3333,0.0833
tar::O2::tar,option_conflict_error,0.0,1.0,1.0
tar::O2::tar,out_of_range_header,0.25,0.5,0.25
tar::O2::tar,owner_map_read,0.0,1.0,1.0
tar::O2::tar,path_decoder,0.0,0.1667,0.1667
tar::O2::tar,print_for_mkdir,0.3333,0.5,0.1667
tar::O2::tar,purge_directory,0.0,0.0714,0.0714
tar::O2::tar,queue_deferred_unlink,0.0,0.125,0.125
tar::O2::tar,quote_n_colon,0.5,1.0,0.5
tar::O2::tar,read_num,0.25,0.3125,0.0625
tar::O2::tar,read_timespec,0.5,0.75,0.25
tar::O2::tar,regex_usage_warning,0.0,0.5,0.5
tar::O2::tar,set_compression_program_by_suffix,0.0,0.1667,0.1667
tar::O2::tar,size_decoder,0.1,0.3,0.2
tar::O2::tar,sparse_major_coder,0.0,0.1667,0.1667
tar::O2::tar,sparse_major_decoder,0.0,0.2,0.2
tar::O2::tar,sparse_map_decoder,0.25,0.375,0.125
tar::O2::tar,sparse_minor_coder,0.0,0.1667,0.1667
tar::O2::tar,sparse_minor_decoder,0.0,0.2,0.2
tar::O2::tar,sparse_numblocks_coder,0.0,0.1667,0.1667
tar::O2::tar,sparse_numblocks_decoder,0.1,0.3,0.2
tar::O2::tar,sparse_numbytes_coder,0.0,0.125,0.125
tar::O2::tar,sparse_offset_coder,0.0,0.125,0.125
tar::O2::tar,sparse_path_decoder,0.0,0.1667,0.1667
tar::O2::tar,sparse_size_decoder,0.1,0.3,0.2
tar::O2::tar,strip_compression_suffix,0.1429,0.2857,0.1429
tar::O2::tar,sys_exec_checkpoint_script,0.5,0.6667,0.1667
tar::O2::tar,tar_savedir,0.125,0.25,0.125
tar::O2::tar,to_chars_subst,0.3043,0.3478,0.0435
tar::O2::tar,uid_coder,0.0,0.1111,0.1111
tar::O2::tar,uid_decoder,0.0,0.4,0.4
tar::O2::tar,uname_decoder,0.0,0.1667,0.1667
tar::O2::tar,unknown_file_error,0.0,1.0,1.0
tar::O2::tar,volume_filename_decoder,0.0,0.2,0.2
tar::O2::tar,volume_label_decoder,0.0,0.2,0.2
tar::O2::tar,volume_offset_decoder,0.1,0.3,0.2
tar::O2::tar,volume_size_coder,0.0,0.125,0.125
tar::O2::tar,volume_size_decoder,0.1,0.3,0.2
tar::O2::tar,write_directory_file_entry,0.0,0.1111,0.1111
tar::O2::tar,xattr_acls_a_coder,0.0,0.25,0.25
tar::O2::tar,xattr_acls_d_coder,0.0,0.25,0.25
tar::O2::tar,xattr_coder,0.0,0.1667,0.1667
tar::O2::tar,xattr_selinux_decoder,0.0,0.1667,0.1667
tar::O2::tar,xattrs_selinux_get,0.2,0.4,0.2
tar::O2::tar,xattrs_selinux_set,0.2,0.4,0.2
tar::O2::tar,xattrs_xattrs_get,0.25,0.3333,0.0833
tar::O2::tar,xattrs_xattrs_set,0.3333,0.5,0.1667
tar::O2::tar,xexec,0.5,1.0,0.5
tar::O2::tar,xheader_xattr__add,0.4,0.6,0.2
