direction,opt,project,binary,function,arch,ged_base,ged_var,src_nodes,approximated
worsened,O0,crazyflie,firmware,VL53L1_copy_sys_and_core_results_to_range_results,arm,20.0,22.0,26,False
improved,O0,crazyflie,cf2,areConditionsMet,arm,24.0,20.0,10,False
improved,O0,crazyflie,firmware,areConditionsMet,arm,24.0,20.0,10,False
improved,O0,crazyflie,cf2,cmp_lfn,arm,8.0,2.0,18,False
improved,O0,crazyflie,firmware,cmp_lfn,arm,8.0,2.0,18,False
to_perfect,O0,crazyflie,cf2,configblockCopyToNewVersion,arm,2.0,0.0,5,False
to_perfect,O0,crazyflie,firmware,configblockCopyToNewVersion,arm,2.0,0.0,5,False
to_perfect,O0,crazyflie,cf2,crtpCommanderHighLevelReadTrajectory,arm,8.0,0.0,5,False
to_perfect,O0,crazyflie,firmware,crtpCommanderHighLevelReadTrajectory,arm,8.0,0.0,5,False
improved,O0,crazyflie,cf2,dir_sdi,arm,17.0,13.0,28,False
improved,O0,crazyflie,firmware,dir_sdi,arm,17.0,13.0,28,False
improved,O0,crazyflie,cf2,dwHandleInterrupt,arm,20.0,19.0,25,False
improved,O0,crazyflie,firmware,dwHandleInterrupt,arm,20.0,19.0,25,False
worsened,O0,crazyflie,cf2,dwIsClockProblem,arm,6.0,8.0,3,False
worsened,O0,crazyflie,firmware,dwIsClockProblem,arm,6.0,8.0,3,False
worsened,O0,crazyflie,cf2,dwIsReceiveFailed,arm,38.0,48.0,1,False
worsened,O0,crazyflie,firmware,dwIsReceiveFailed,arm,38.0,48.0,1,False
off_perfect,O0,crazyflie,cf2,dwSetData,arm,0.0,8.0,9,False
off_perfect,O0,crazyflie,firmware,dwSetData,arm,0.0,8.0,9,False
worsened,O0,crazyflie,cf2,dwSetDefaults,arm,9.0,15.0,4,False
worsened,O0,crazyflie,firmware,dwSetDefaults,arm,9.0,15.0,4,False
improved,O0,crazyflie,cf2,eTaskGetState,arm,23.0,18.0,22,False
improved,O0,crazyflie,firmware,eTaskGetState,arm,23.0,18.0,22,False
worsened,O0,crazyflie,cf2,enqueueTDOA,arm,5.0,13.0,12,False
worsened,O0,crazyflie,firmware,enqueueTDOA,arm,5.0,13.0,12,False
worsened,O0,crazyflie,cf2,espDeckFlasherWrite,arm,20.0,22.0,11,False
worsened,O0,crazyflie,firmware,espDeckFlasherWrite,arm,20.0,22.0,11,False
worsened,O0,crazyflie,cf2,estimatePositionCrossingBeams,arm,8.0,12.0,16,False
worsened,O0,crazyflie,firmware,estimatePositionCrossingBeams,arm,8.0,12.0,16,False
to_perfect,O0,crazyflie,cf2,findSyncTime,arm,2.0,0.0,28,False
to_perfect,O0,crazyflie,firmware,findSyncTime,arm,2.0,0.0,28,False
worsened,O0,crazyflie,cf2,flowdeck1Init,arm,13.0,16.0,4,False
worsened,O0,crazyflie,firmware,flowdeck1Init,arm,13.0,16.0,4,False
worsened,O0,crazyflie,cf2,flowdeck2Init,arm,13.0,16.0,4,False
worsened,O0,crazyflie,firmware,flowdeck2Init,arm,13.0,16.0,4,False
worsened,O0,crazyflie,cf2,getUartFrameRaw,arm,10.0,12.0,11,False
worsened,O0,crazyflie,firmware,getUartFrameRaw,arm,10.0,12.0,11,False
worsened,O0,crazyflie,cf2,handleButtonSensorRead,arm,6.0,7.0,3,False
worsened,O0,crazyflie,firmware,handleButtonSensorRead,arm,6.0,7.0,3,False
worsened,O0,crazyflie,cf2,handleInfoSectionRead,arm,8.0,10.0,10,False
worsened,O0,crazyflie,firmware,handleInfoSectionRead,arm,8.0,10.0,10,False
improved,O0,crazyflie,cf2,handleLedringmemRead,arm,9.0,5.0,4,False
improved,O0,crazyflie,firmware,handleLedringmemRead,arm,9.0,5.0,4,False
worsened,O0,crazyflie,cf2,handleLppPacket,arm,17.0,20.0,9,False
worsened,O0,crazyflie,firmware,handleLppPacket,arm,17.0,20.0,9,False
worsened,O0,crazyflie,cf2,isAssertRegistered,arm,10.0,12.0,3,False
worsened,O0,crazyflie,firmware,isAssertRegistered,arm,10.0,12.0,3,False
worsened,O0,crazyflie,cf2,isFlyingCheck,arm,9.0,11.0,11,False
worsened,O0,crazyflie,firmware,isFlyingCheck,arm,9.0,11.0,11,False
worsened,O0,crazyflie,cf2,isInGroup,arm,10.0,12.0,3,False
worsened,O0,crazyflie,firmware,isInGroup,arm,10.0,12.0,3,False
worsened,O0,crazyflie,cf2,isNewSync,arm,10.0,12.0,3,False
worsened,O0,crazyflie,firmware,isNewSync,arm,10.0,12.0,3,False
worsened,O0,crazyflie,cf2,isPulseASync,arm,10.0,12.0,3,False
worsened,O0,crazyflie,firmware,isPulseASync,arm,10.0,12.0,3,False
worsened,O0,crazyflie,cf2,isSweep,arm,10.0,12.0,5,False
worsened,O0,crazyflie,firmware,isSweep,arm,10.0,12.0,5,False
to_perfect,O0,crazyflie,cf2,isSync,arm,2.0,0.0,7,False
to_perfect,O0,crazyflie,firmware,isSync,arm,2.0,0.0,7,False
worsened,O0,crazyflie,cf2,kalmanCoreRobustUpdateWithTdoa,arm,4.0,6.0,47,False
worsened,O0,crazyflie,firmware,kalmanCoreRobustUpdateWithTdoa,arm,4.0,6.0,47,False
improved,O0,crazyflie,cf2,kalmanCoreUpdateWithTdoa,arm,8.0,7.0,5,False
improved,O0,crazyflie,firmware,kalmanCoreUpdateWithTdoa,arm,8.0,7.0,5,False
worsened,O0,crazyflie,cf2,kveForeach,arm,5.0,7.0,8,False
worsened,O0,crazyflie,firmware,kveForeach,arm,5.0,7.0,8,False
worsened,O0,crazyflie,cf2,ledSetSwitch,arm,6.0,10.0,3,False
worsened,O0,crazyflie,firmware,ledSetSwitch,arm,6.0,10.0,3,False
improved,O0,crazyflie,cf2,lighthouseStoragePersistData,arm,15.0,13.0,10,False
improved,O0,crazyflie,firmware,lighthouseStoragePersistData,arm,15.0,13.0,10,False
worsened,O0,crazyflie,cf2,lpf2pInit,arm,2.0,6.0,5,False
worsened,O0,crazyflie,firmware,lpf2pInit,arm,2.0,6.0,5,False
to_perfect,O0,crazyflie,cf2,lps25hSelfTest,arm,2.0,0.0,7,False
to_perfect,O0,crazyflie,firmware,lps25hSelfTest,arm,2.0,0.0,7,False
to_perfect,O0,crazyflie,cf2,lps25hTestConnection,arm,2.0,0.0,7,False
to_perfect,O0,crazyflie,firmware,lps25hTestConnection,arm,2.0,0.0,7,False
worsened,O0,crazyflie,cf2,lpsHandleLppShortPacket,arm,6.0,10.0,3,False
worsened,O0,crazyflie,firmware,lpsHandleLppShortPacket,arm,6.0,10.0,3,False
worsened,O0,crazyflie,cf2,mount_volume,arm,2.0,19.0,77,True
worsened,O0,crazyflie,firmware,mount_volume,arm,2.0,19.0,77,True
improved,O0,crazyflie,cf2,mpu6500SelfTest,arm,10.0,2.0,34,False
improved,O0,crazyflie,firmware,mpu6500SelfTest,arm,10.0,2.0,34,False
improved,O0,crazyflie,cf2,null_ptr_check,arm,11.0,5.0,10,False
improved,O0,crazyflie,firmware,null_ptr_check,arm,11.0,5.0,10,False
improved,O0,crazyflie,cf2,pmUpdateState,arm,14.0,10.0,13,False
improved,O0,crazyflie,firmware,pmUpdateState,arm,14.0,10.0,13,False
worsened,O0,crazyflie,cf2,processPreviousFrame,arm,3.0,5.0,13,False
worsened,O0,crazyflie,firmware,processPreviousFrame,arm,3.0,5.0,13,False
worsened,O0,crazyflie,cf2,prvAddNewTaskToReadyList,arm,11.0,15.0,9,False
worsened,O0,crazyflie,firmware,prvAddNewTaskToReadyList,arm,11.0,15.0,9,False
improved,O0,crazyflie,cf2,prvTaskIsTaskSuspended,arm,33.0,27.0,16,False
improved,O0,crazyflie,firmware,prvTaskIsTaskSuspended,arm,33.0,27.0,16,False
worsened,O0,crazyflie,cf2,put_utf,arm,2.0,8.0,9,False
worsened,O0,crazyflie,firmware,put_utf,arm,2.0,8.0,9,False
worsened,O0,crazyflie,cf2,receivePacket,arm,10.0,12.0,10,False
worsened,O0,crazyflie,firmware,receivePacket,arm,10.0,12.0,10,False
improved,O0,crazyflie,cf2,runLedseq,arm,13.0,12.0,14,False
improved,O0,crazyflie,firmware,runLedseq,arm,13.0,12.0,14,False
to_perfect,O0,crazyflie,cf2,sensorsFindBiasValue,arm,15.0,0.0,10,False
to_perfect,O0,crazyflie,firmware,sensorsFindBiasValue,arm,15.0,0.0,10,False
worsened,O0,crazyflie,cf2,suart_getc_,arm,8.0,10.0,14,False
worsened,O0,crazyflie,firmware,suart_getc_,arm,8.0,10.0,14,False
improved,O0,crazyflie,cf2,supervisorAreMotorsAllowedToRun,arm,14.0,12.0,7,False
improved,O0,crazyflie,firmware,supervisorAreMotorsAllowedToRun,arm,14.0,12.0,7,False
worsened,O0,crazyflie,cf2,supervisorIsArmed,arm,10.0,12.0,3,False
worsened,O0,crazyflie,firmware,supervisorIsArmed,arm,10.0,12.0,3,False
to_perfect,O0,crazyflie,cf2,switchToMode,arm,8.0,0.0,5,False
to_perfect,O0,crazyflie,firmware,switchToMode,arm,8.0,0.0,5,False
improved,O0,crazyflie,cf2,sync_window,arm,14.0,5.0,7,False
improved,O0,crazyflie,firmware,sync_window,arm,14.0,5.0,7,False
improved,O0,crazyflie,cf2,usbd_cf_Setup,arm,33.0,20.0,24,False
improved,O0,crazyflie,firmware,usbd_cf_Setup,arm,33.0,20.0,24,False
worsened,O0,crazyflie,cf2,vPortEnterCritical,arm,14.0,18.0,3,False
worsened,O0,crazyflie,firmware,vPortEnterCritical,arm,14.0,18.0,3,False
worsened,O0,crazyflie,cf2,vPortExitCritical,arm,9.0,10.0,4,False
worsened,O0,crazyflie,firmware,vPortExitCritical,arm,9.0,10.0,4,False
worsened,O0,crazyflie,cf2,vPortFree,arm,9.0,12.0,8,False
worsened,O0,crazyflie,firmware,vPortFree,arm,9.0,12.0,8,False
worsened,O0,crazyflie,cf2,vTaskDelete,arm,19.0,23.0,13,False
worsened,O0,crazyflie,firmware,vTaskDelete,arm,19.0,23.0,13,False
worsened,O0,crazyflie,cf2,vTaskPriorityDisinheritAfterTimeout,arm,9.0,15.0,19,False
worsened,O0,crazyflie,firmware,vTaskPriorityDisinheritAfterTimeout,arm,9.0,15.0,19,False
worsened,O0,crazyflie,cf2,vTaskResume,arm,5.0,11.0,9,False
worsened,O0,crazyflie,firmware,vTaskResume,arm,5.0,11.0,9,False
improved,O0,crazyflie,cf2,validate_selftest,arm,9.0,5.0,8,False
improved,O0,crazyflie,firmware,validate_selftest,arm,9.0,5.0,8,False
to_perfect,O0,crazyflie,cf2,vl53l0xSetSignalRateLimit,arm,2.0,0.0,5,False
to_perfect,O0,crazyflie,firmware,vl53l0xSetSignalRateLimit,arm,2.0,0.0,5,False
improved,O0,crazyflie,cf2,xTaskPriorityDisinherit,arm,12.0,5.0,11,False
improved,O0,crazyflie,firmware,xTaskPriorityDisinherit,arm,12.0,5.0,11,False
improved,O0,cronie,crond,cron_pclose,x86-64,6.0,4.0,12,False
worsened,O0,cronie,crond,cron_set_job_security_context,x86-64,3.0,5.0,10,False
worsened,O0,cronie,crontab,cron_set_job_security_context,x86-64,3.0,5.0,10,False
improved,O0,cronie,crond,cron_sleep,x86-64,8.0,5.0,8,False
worsened,O0,cronie,crond,get_range,x86-64,3.0,5.0,59,True
worsened,O0,cronie,cronnext,get_range,x86-64,3.0,5.0,59,True
worsened,O0,cronie,crontab,get_range,x86-64,3.0,5.0,59,True
worsened,O0,cronie,crontab,host_specific_filename,x86-64,3.0,4.0,10,False
worsened,O0,cronie,crond,is_separator,x86-64,6.0,8.0,3,False
worsened,O0,cronie,cronnext,is_separator,x86-64,6.0,8.0,3,False
worsened,O0,cronie,crontab,is_separator,x86-64,6.0,8.0,3,False
worsened,O0,cronie,crond,load_entry,x86-64,109.0,112.0,227,True
worsened,O0,cronie,cronnext,load_entry,x86-64,109.0,112.0,227,True
worsened,O0,cronie,crontab,load_entry,x86-64,109.0,112.0,227,True
worsened,O0,cronie,cronnext,matchday,x86-64,9.0,11.0,7,False
worsened,O0,cronie,cronnext,matchuser,x86-64,2.0,8.0,11,False
worsened,O0,cronie,crond,not_a_crontab,x86-64,4.0,8.0,25,False
worsened,O0,cronie,cronnext,not_a_crontab,x86-64,4.0,8.0,25,False
to_perfect,O0,cronie,crond,set_element,x86-64,2.0,0.0,7,False
to_perfect,O0,cronie,cronnext,set_element,x86-64,2.0,0.0,7,False
to_perfect,O0,cronie,crontab,set_element,x86-64,2.0,0.0,7,False
to_perfect,O0,cronie,crond,strcmp_until,x86-64,5.0,0.0,16,False
to_perfect,O0,cronie,cronnext,strcmp_until,x86-64,5.0,0.0,16,False
to_perfect,O0,cronie,crontab,strcmp_until,x86-64,5.0,0.0,16,False
improved,O0,cronie,crond,swap_uids_back,x86-64,8.0,6.0,5,False
improved,O0,cronie,cronnext,swap_uids_back,x86-64,8.0,6.0,5,False
improved,O0,cronie,crontab,swap_uids_back,x86-64,8.0,6.0,5,False
worsened,O0,dexter,dexter,BeginInjection,pe-x86,8.0,13.0,7,False
to_perfect,O0,dexter,dexter,GetParentProcessId,pe-x86,5.0,0.0,6,False
to_perfect,O0,dexter,dexter,IsDigit,pe-x86,2.0,0.0,5,False
improved,O0,dexter,dexter,IsNameChar,pe-x86,8.0,2.0,15,False
to_perfect,O0,dexter,dexter,Track1NameLength,pe-x86,2.0,0.0,11,False
worsened,O0,dexter,dexter,check_digit,pe-x86,10.0,12.0,3,False
worsened,O0,diffutils,sdiff,catchsig,x86-64,9.0,11.0,2,False
improved,O0,diffutils,cmp,cmp,x86-64,81.0,77.0,108,True
to_perfect,O0,diffutils,diff3,copy_stringlist,x86-64,2.0,0.0,10,False
worsened,O0,diffutils,sdiff,diraccess,x86-64,10.0,12.0,3,False
improved,O0,diffutils,diff,file_block_read,x86-64,7.0,5.0,6,False
improved,O0,diffutils,diff,finish_output,x86-64,53.0,50.0,33,False
improved,O0,diffutils,diff,parse_diff_color,x86-64,134.0,132.0,31,False
to_perfect,O0,diffutils,diff,print_sdiff_common_lines,x86-64,9.0,0.0,17,False
worsened,O0,diffutils,diff,scan_char_literal,x86-64,19.0,26.0,14,False
improved,O0,diffutils,diff,set_color_context,x86-64,8.0,5.0,12,False
to_perfect,O0,diffutils,diff,specify_colors_style,x86-64,2.0,0.0,9,False
to_perfect,O0,diffutils,cmp,specify_comparison_type,x86-64,8.0,0.0,5,False
worsened,O0,diffutils,diff,summarize_regexp_list,x86-64,26.0,36.0,13,False
worsened,O0,dpkg,dpkg,breaks_check_one,x86-64,3.0,26.0,28,False
to_perfect,O0,dpkg,dpkg-divert,check_rename,x86-64,6.0,0.0,11,False
off_perfect,O0,dpkg,dpkg-query,control_path_file,x86-64,0.0,8.0,5,False
worsened,O0,dpkg,dpkg,depisok,x86-64,68.0,70.0,139,True
improved,O0,dpkg,dpkg-divert,diversion_is_shared,x86-64,4.0,2.0,16,False
improved,O0,dpkg,dpkg-divert,diversion_listpackage,x86-64,7.0,5.0,12,False
worsened,O0,dpkg,dpkg,dpkg_selabel_set_context,x86-64,2.0,12.0,13,False
worsened,O0,dpkg,dpkg-statoverride,dpkg_selabel_set_context,x86-64,2.0,12.0,13,False
to_perfect,O0,dpkg,dpkg,linktosameexistingdir,x86-64,12.0,0.0,30,False
to_perfect,O0,dpkg,dpkg-query,pkg_infodb_is_internal,x86-64,2.0,0.0,7,False
worsened,O0,dpkg,dpkg,removal_bulk_remove_file,x86-64,4.0,11.0,7,False
worsened,O0,dpkg,dpkg-divert,set_package,x86-64,5.0,8.0,4,False
off_perfect,O0,dpkg,dpkg,setexecute,x86-64,0.0,8.0,5,False
to_perfect,O0,dpkg,dpkg-statoverride,statdb_node_remove,x86-64,2.0,0.0,5,False
worsened,O0,dpkg,dpkg,tarobject_set_mtime,x86-64,6.0,9.0,7,False
worsened,O0,dpkg,dpkg,tarobject_skip_padding,x86-64,3.0,7.0,4,False
worsened,O0,dpkg,dpkg-trigger,tdm_add_trig_begin,x86-64,6.0,10.0,3,False
off_perfect,O0,dpkg,dpkg,trigproc_enqueue_deferred,x86-64,0.0,8.0,5,False
improved,O0,e2fsprogs,e2fsck,check_backup_super_block,x86-64,28.0,14.0,39,False
worsened,O0,e2fsprogs,e2fsck,check_block_bitmap_checksum,x86-64,5.0,8.0,15,False
worsened,O0,e2fsprogs,e2fsck,check_block_end,x86-64,4.0,6.0,22,False
worsened,O0,e2fsprogs,e2fsck,check_directory,x86-64,16.0,18.0,28,False
worsened,O0,e2fsprogs,e2fsck,check_ea_inode,x86-64,9.0,12.0,13,False
off_perfect,O0,e2fsprogs,e2fsck,check_extents_inlinedata,x86-64,0.0,8.0,5,False
worsened,O0,e2fsprogs,e2fsck,check_filetype,x86-64,2.0,5.0,20,False
worsened,O0,e2fsprogs,e2fsck,check_if_skip,x86-64,6.0,8.0,76,True
off_perfect,O0,e2fsprogs,e2fsck,check_immutable,x86-64,0.0,8.0,5,False
worsened,O0,e2fsprogs,e2fsck,check_inode_bitmap_checksum,x86-64,5.0,8.0,15,False
worsened,O0,e2fsprogs,e2fsck,check_inode_end,x86-64,4.0,6.0,22,False
worsened,O0,e2fsprogs,e2fsck,check_inode_extra_negative_epoch,x86-64,10.0,12.0,3,False
worsened,O0,e2fsprogs,e2fsck,check_mount,x86-64,9.0,16.0,31,False
off_perfect,O0,e2fsprogs,e2fsck,check_size,x86-64,0.0,8.0,5,False
to_perfect,O0,e2fsprogs,e2fsck,check_super_value,x86-64,5.0,0.0,13,False
to_perfect,O0,e2fsprogs,e2fsck,check_super_value64,x86-64,5.0,0.0,13,False
worsened,O0,e2fsprogs,e2fsck,deallocate_inode_block,x86-64,2.0,10.0,9,False
improved,O0,e2fsprogs,e2fsck,delete_file,x86-64,9.0,7.0,19,False
to_perfect,O0,e2fsprogs,e2fsck,e2fsck_dir_info_iter,x86-64,2.0,0.0,13,False
worsened,O0,e2fsprogs,e2fsck,e2fsck_discard_blocks,x86-64,5.0,8.0,6,False
worsened,O0,e2fsprogs,e2fsck,e2fsck_discard_inodes,x86-64,15.0,16.0,18,False
worsened,O0,e2fsprogs,e2fsck,e2fsck_fix_dirhash_hint,x86-64,12.0,15.0,11,False
worsened,O0,e2fsprogs,e2fsck,e2fsck_fix_ext3_journal_hint,x86-64,2.0,11.0,12,False
improved,O0,e2fsprogs,e2fsck,e2fsck_get_dir_info,x86-64,11.0,10.0,26,False
improved,O0,e2fsprogs,e2fsck,e2fsck_get_dx_dir_info,x86-64,11.0,8.0,16,False
worsened,O0,e2fsprogs,e2fsck,e2fsck_hide_quota,x86-64,3.0,8.0,15,False
worsened,O0,e2fsprogs,e2fsck,e2fsck_journal_load,x86-64,16.0,17.0,55,True
worsened,O0,e2fsprogs,e2fsck,e2fsck_move_ext3_journal,x86-64,8.0,19.0,40,False
improved,O0,e2fsprogs,e2fsck,e2fsck_pass1_check_symlink,x86-64,22.0,16.0,54,False
worsened,O0,e2fsprogs,e2fsck,e2fsck_pass5,x86-64,3.0,14.0,14,False
improved,O0,e2fsprogs,e2fsck,e2fsck_process_bad_inode,x86-64,15.0,13.0,105,True
improved,O0,e2fsprogs,e2fsck,e2fsck_rebuild_extents_later,x86-64,4.0,2.0,15,False
off_perfect,O0,e2fsprogs,e2fsck,e2fsck_simple_progress,x86-64,0.0,11.0,21,False
to_perfect,O0,e2fsprogs,e2fsck,ea_refcount_decrement,x86-64,4.0,0.0,7,False
worsened,O0,e2fsprogs,e2fsck,encoded_check_name,x86-64,26.0,28.0,11,False
worsened,O0,e2fsprogs,e2fsck,expand_at_expression,x86-64,3.0,8.0,13,False
off_perfect,O0,e2fsprogs,e2fsck,expand_dirent_expression,x86-64,0.0,13.0,14,False
worsened,O0,e2fsprogs,e2fsck,ext4_fc_flush_extents,x86-64,2.0,6.0,5,False
worsened,O0,e2fsprogs,e2fsck,get_refcount_el,x86-64,6.0,8.0,29,False
to_perfect,O0,e2fsprogs,e2fsck,handle_htree,x86-64,2.0,0.0,69,True
to_perfect,O0,e2fsprogs,e2fsck,has_unaligned_cluster_map,x86-64,9.0,0.0,12,False
to_perfect,O0,e2fsprogs,e2fsck,is_fake_entry,x86-64,2.0,0.0,9,False
to_perfect,O0,e2fsprogs,e2fsck,mark_bmap,x86-64,2.0,0.0,5,False
to_perfect,O0,e2fsprogs,e2fsck,mark_bmap_range,x86-64,2.0,0.0,5,False
improved,O0,e2fsprogs,e2fsck,needs_encryption,x86-64,18.0,12.0,15,False
to_perfect,O0,e2fsprogs,e2fsck,pass1_check_directory,x86-64,2.0,0.0,7,False
to_perfect,O0,e2fsprogs,e2fsck,pass1_get_blocks,x86-64,2.0,0.0,8,False
to_perfect,O0,e2fsprogs,e2fsck,pass1_read_inode,x86-64,2.0,0.0,5,False
to_perfect,O0,e2fsprogs,e2fsck,pass1_write_inode,x86-64,10.0,0.0,7,False
worsened,O0,e2fsprogs,e2fsck,print_resource_track,x86-64,9.0,11.0,23,False
improved,O0,e2fsprogs,e2fsck,process_block,x86-64,3.0,2.0,101,True
to_perfect,O0,e2fsprogs,e2fsck,process_journal_block,x86-64,6.0,0.0,9,False
to_perfect,O0,e2fsprogs,e2fsck,region_allocate,x86-64,13.0,0.0,53,False
off_perfect,O0,e2fsprogs,e2fsck,reserve_block_for_lnf_repair,x86-64,0.0,8.0,5,False
off_perfect,O0,e2fsprogs,e2fsck,reserve_block_for_root_repair,x86-64,0.0,8.0,5,False
worsened,O0,e2fsprogs,e2fsck,scan_callback,x86-64,3.0,5.0,4,False
improved,O0,e2fsprogs,e2fsck,search_dirent_proc,x86-64,8.0,6.0,13,False
worsened,O0,e2fsprogs,e2fsck,setup_tdb,x86-64,6.0,14.0,16,False
to_perfect,O0,e2fsprogs,e2fsck,write_dir_block,x86-64,2.0,0.0,16,False
improved,O0,findutils,find,check_name_arg,x86-64,8.0,5.0,5,False
worsened,O0,findutils,find,check_option_combinations,x86-64,29.0,35.0,21,False
worsened,O0,findutils,find,entry_comparator,x86-64,10.0,12.0,3,False
worsened,O0,findutils,find,get_info,x86-64,3.0,12.0,19,False
improved,O0,findutils,find,insert_exec_ok,x86-64,91.0,87.0,98,True
worsened,O0,findutils,find,insert_num,x86-64,13.0,15.0,14,False
improved,O0,findutils,find,insert_path_check,x86-64,12.0,8.0,9,False
worsened,O0,findutils,find,inside_dir,x86-64,16.0,24.0,19,False
worsened,O0,findutils,find,is_exec_in_local_dir,x86-64,10.0,12.0,3,False
to_perfect,O0,findutils,find,is_feasible_path_argument,x86-64,2.0,0.0,7,False
worsened,O0,findutils,find,is_octal_char,x86-64,10.0,12.0,3,False
worsened,O0,findutils,find,left_dir,x86-64,6.0,10.0,3,False
improved,O0,findutils,find,opt_expr,x86-64,21.0,20.0,59,False
improved,O0,findutils,find,parse_context,x86-64,35.0,33.0,16,False
worsened,O0,findutils,find,parse_iname,x86-64,3.0,5.0,4,False
improved,O0,findutils,find,parse_newerXY,x86-64,64.0,62.0,72,True
improved,O0,findutils,find,parse_size,x86-64,55.0,53.0,50,False
improved,O0,findutils,find,pred_gid,x86-64,25.0,18.0,8,False
improved,O0,findutils,find,pred_inum,x86-64,25.0,18.0,8,False
improved,O0,findutils,find,pred_links,x86-64,25.0,18.0,8,False
improved,O0,findutils,find,pred_prune,x86-64,11.0,7.0,8,False
improved,O0,findutils,find,pred_size,x86-64,25.0,18.0,8,False
improved,O0,findutils,find,pred_type,x86-64,13.0,11.0,20,False
improved,O0,findutils,find,pred_uid,x86-64,25.0,18.0,8,False
improved,O0,findutils,find,predicate_is_cost_free,x86-64,12.0,2.0,19,False
to_perfect,O0,findutils,find,scan_for_digit_differences,x86-64,4.0,0.0,20,False
improved,O0,findutils,find,subtree_has_side_effects,x86-64,8.0,6.0,7,False
worsened,O0,findutils,find,symlink_loop,x86-64,10.0,12.0,3,False
to_perfect,O0,gnutls,srptool,_verify_passwd_int,x86-64,2.0,0.0,17,False
improved,O0,gnutls,ocsptool,ask_server,x86-64,10.0,7.0,28,False
worsened,O0,gnutls,gnutls-cli-debug,cert_callback,x86-64,32.0,34.0,21,False
worsened,O0,gnutls,gnutls-cli,cert_verify_callback,x86-64,19.0,27.0,56,False
improved,O0,gnutls,certtool,check_command,x86-64,10.0,5.0,24,False
improved,O0,gnutls,gnutls-cli,check_command,x86-64,10.0,5.0,24,False
improved,O0,gnutls,gnutls-cli-debug,check_command,x86-64,10.0,5.0,24,False
improved,O0,gnutls,gnutls-serv,check_command,x86-64,10.0,5.0,24,False
improved,O0,gnutls,ocsptool,check_command,x86-64,10.0,5.0,24,False
improved,O0,gnutls,systemkey,check_command,x86-64,10.0,5.0,24,False
improved,O0,gnutls,psktool,close_stream,x86-64,9.0,5.0,9,False
worsened,O0,gnutls,certtool,crq_extensions_set,x86-64,6.0,11.0,8,False
worsened,O0,gnutls,systemkey,crq_extensions_set,x86-64,6.0,11.0,8,False
worsened,O0,gnutls,certtool,crt_constraints_set,x86-64,7.0,33.0,58,False
worsened,O0,gnutls,systemkey,crt_constraints_set,x86-64,7.0,33.0,58,False
to_perfect,O0,gnutls,certtool,figure_key_type,x86-64,4.0,0.0,27,False
to_perfect,O0,gnutls,ocsptool,figure_key_type,x86-64,4.0,0.0,27,False
to_perfect,O0,gnutls,systemkey,figure_key_type,x86-64,4.0,0.0,27,False
worsened,O0,gnutls,certtool,get_dn_crq_set,x86-64,6.0,8.0,5,False
worsened,O0,gnutls,systemkey,get_dn_crq_set,x86-64,6.0,8.0,5,False
worsened,O0,gnutls,certtool,get_dn_crt_set,x86-64,6.0,8.0,5,False
worsened,O0,gnutls,systemkey,get_dn_crt_set,x86-64,6.0,8.0,5,False
worsened,O0,gnutls,certtool,get_tlsfeatures_set,x86-64,3.0,11.0,16,False
worsened,O0,gnutls,systemkey,get_tlsfeatures_set,x86-64,3.0,11.0,16,False
to_perfect,O0,gnutls,gnutls-cli,handle_error,x86-64,4.0,0.0,18,False
worsened,O0,gnutls,gnutls-cli,load_rawpk_keys,x86-64,7.0,9.0,8,False
worsened,O0,gnutls,gnutls-cli,load_x509_keys,x86-64,8.0,9.0,16,False
worsened,O0,gnutls,certtool,print_certificate_info,x86-64,8.0,10.0,10,False
off_perfect,O0,gnutls,certtool,print_dh_info,x86-64,0.0,8.0,18,False
off_perfect,O0,gnutls,gnutls-cli,print_dh_info,x86-64,0.0,8.0,18,False
off_perfect,O0,gnutls,gnutls-cli-debug,print_dh_info,x86-64,0.0,8.0,18,False
off_perfect,O0,gnutls,gnutls-serv,print_dh_info,x86-64,0.0,8.0,18,False
off_perfect,O0,gnutls,ocsptool,print_dh_info,x86-64,0.0,8.0,18,False
off_perfect,O0,gnutls,systemkey,print_dh_info,x86-64,0.0,8.0,18,False
improved,O0,gnutls,certtool,print_ecc_pkey,x86-64,8.0,5.0,12,False
improved,O0,gnutls,ocsptool,print_ecc_pkey,x86-64,8.0,5.0,12,False
improved,O0,gnutls,systemkey,print_ecc_pkey,x86-64,8.0,5.0,12,False
worsened,O0,gnutls,gnutls-cli,print_other_info,x86-64,10.0,17.0,18,False
improved,O0,gnutls,certtool,print_rsa_pkey,x86-64,12.0,7.0,3,False
improved,O0,gnutls,ocsptool,print_rsa_pkey,x86-64,12.0,7.0,3,False
improved,O0,gnutls,systemkey,print_rsa_pkey,x86-64,12.0,7.0,3,False
worsened,O0,gnutls,gnutls-serv,pull_timeout_func,x86-64,8.0,10.0,12,False
to_perfect,O0,gnutls,certtool,read_str,x86-64,2.0,0.0,11,False
to_perfect,O0,gnutls,systemkey,read_str,x86-64,2.0,0.0,11,False
to_perfect,O0,gnutls,certtool,read_yesno,x86-64,7.0,0.0,15,False
improved,O0,gnutls,gnutls-cli,read_yesno,x86-64,22.0,18.0,15,False
to_perfect,O0,gnutls,systemkey,read_yesno,x86-64,7.0,0.0,15,False
