slice,function,round_e,round_f,delta
coreutils::O0::ls,file_failure,0.6667,1.0,0.3333
coreutils::O0::ls,is_colored,0.6667,1.0,0.3333
coreutils::O0::ls,known_term_type,0.5,1.0,0.5
coreutils::O0::ls,make_link_name,0.75,1.0,0.25
coreutils::O0::ls,parse_ls_color,0.2222,0.3333,0.1111
coreutils::O0::ls,print_dir,0.6429,0.7857,0.1429
coreutils::O0::ls,print_name_with_quoting,0.5,0.625,0.125
coreutils::O0::ls,push_current_dired_pos,0.5,1.0,0.5
coreutils::O0::make-prime-list,xalloc,0.5,1.0,0.5
coreutils::O0::mkdir,announce_mkdir,0.3333,0.6667,0.3333
coreutils::O0::mkdir,make_ancestor,0.6667,0.8333,0.1667
coreutils::O0::mktemp,main,0.8261,0.9565,0.1304
coreutils::O0::mv,abandon_move,0.1667,0.3333,0.1667
coreutils::O0::mv,copy,0.3,0.4,0.1
coreutils::O0::mv,copy_attr_quote,0.0,0.5,0.5
coreutils::O0::mv,copy_internal,0.6032,0.6508,0.0476
coreutils::O0::mv,create_hard_link,0.3636,0.6364,0.2727
coreutils::O0::mv,create_hole,0.8,1.0,0.2
coreutils::O0::mv,do_move,0.1538,0.2308,0.0769
coreutils::O0::mv,emit_verbose,0.0,1.0,1.0
coreutils::O0::mv,lseek_copy,0.7,0.8,0.1
coreutils::O0::mv,overwrite_ok,0.3333,0.5,0.1667
coreutils::O0::mv,prompt,0.4375,0.5625,0.125
coreutils::O0::mv,same_file_ok,0.8125,0.875,0.0625
coreutils::O0::mv,set_owner,0.6471,0.7059,0.0588
coreutils::O0::mv,set_process_security_ctx,0.625,0.75,0.125
coreutils::O0::mv,source_is_dst_backup,0.7273,0.9091,0.1818
coreutils::O0::mv,sparse_copy,0.625,0.7083,0.0833
coreutils::O0::nl,build_type_arg,0.2,0.4,0.2
coreutils::O0::nohup,main,0.9,0.95,0.05
coreutils::O0::numfmt,next_field,0.3333,0.6667,0.3333
coreutils::O0::numfmt,process_suffixed_number,0.8889,1.0,0.1111
coreutils::O0::numfmt,set_fields,0.8462,0.9231,0.0769
coreutils::O0::numfmt,simple_strtod_fatal,0.6667,1.0,0.3333
coreutils::O0::od,decode_one_format,0.6429,0.7143,0.0714
coreutils::O0::od,format_address_std,0.6,0.8,0.2
coreutils::O0::pathchk,portable_chars_only,0.6667,0.8333,0.1667
coreutils::O0::pathchk,validate_file_name,0.8696,0.9565,0.087
coreutils::O0::pinky,create_fullname,0.8889,1.0,0.1111
coreutils::O0::pinky,print_entry,0.4615,0.6923,0.2308
coreutils::O0::pinky,print_long_entry,0.2143,0.7143,0.5
coreutils::O0::pinky,short_pinky,0.4,0.6,0.2
coreutils::O0::pr,print_stored,0.5,0.6667,0.1667
coreutils::O0::pr,read_rest_of_line,0.3333,0.6667,0.3333
coreutils::O0::pr,skip_read,0.5714,0.7143,0.1429
coreutils::O0::printf,print_formatted,0.8,0.8667,0.0667
coreutils::O0::ptx,compile_regex,0.0,0.25,0.25
coreutils::O0::ptx,define_all_fields,0.6471,0.8824,0.2353
coreutils::O0::ptx,digest_word_file,0.4,0.6,0.2
coreutils::O0::pwd,logical_getcwd,0.75,1.0,0.25
coreutils::O0::pwd,main,0.6667,0.8333,0.1667
coreutils::O0::readlink,main,0.75,0.875,0.125
coreutils::O0::realpath,realpath_canon,0.5,1.0,0.5
coreutils::O0::rm,diagnose_leading_hyphen,0.6,0.8,0.2
coreutils::O0::rm,prompt,0.4375,0.5625,0.125
coreutils::O0::rmdir,main,0.7273,1.0,0.2727
coreutils::O0::seq,incr,0.5,0.75,0.25
coreutils::O0::seq,long_double_format,0.6667,0.7778,0.1111
coreutils::O0::seq,scan_arg,0.5,0.6667,0.1667
coreutils::O0::seq,trim_leading_zeros,0.5,1.0,0.5
coreutils::O0::shred,dorewind,0.5,0.25,-0.25
coreutils::O0::shred,incname,0.25,0.5,0.25
coreutils::O0::shred,main,0.7,0.8,0.1
coreutils::O0::shred,wipename,0.5385,0.6923,0.1538
coreutils::O0::shuf,input_from_argv,0.7143,0.8571,0.1429
coreutils::O0::sort,async_safe_die,0.75,0.875,0.125
coreutils::O0::sort,badfieldspec,0.5,1.0,0.5
coreutils::O0::sort,begfield,0.5,0.6667,0.1667
coreutils::O0::sort,check,0.4667,0.5333,0.0667
coreutils::O0::sort,compare_random,0.5556,0.6667,0.1111
coreutils::O0::sort,create_temp_file,0.3636,0.4545,0.0909
coreutils::O0::sort,inittables,0.6667,0.8333,0.1667
coreutils::O0::sort,limfield,0.5,0.6667,0.1667
coreutils::O0::sort,main,0.6279,0.7209,0.093
coreutils::O0::sort,mergefps,0.5385,0.5769,0.0385
coreutils::O0::sort,write_line,0.625,0.875,0.25
coreutils::O0::split,closeout,0.7778,0.8889,0.1111
coreutils::O0::stat,main,0.8,0.9,0.1
coreutils::O0::stat,make_format,0.7143,0.8571,0.1429
coreutils::O0::stat,out_epoch_sec,0.8,0.84,0.04
coreutils::O0::stat,out_file_context,0.8,1.0,0.2
coreutils::O0::stat,out_mount_point,0.6667,0.7778,0.1111
coreutils::O0::stat,print_it,0.6667,0.7333,0.0667
coreutils::O0::stat,print_stat,0.2857,0.4286,0.1429
coreutils::O0::stdbuf,set_program_path,0.75,1.0,0.25
coreutils::O0::stty,apply_settings,0.5,0.5714,0.0714
coreutils::O0::stty,display_all,0.4286,0.7143,0.2857
coreutils::O0::stty,display_changed,0.5714,0.7143,0.1429
coreutils::O0::stty,display_settings,0.3333,0.6667,0.3333
coreutils::O0::stty,display_window_size,0.0,0.3333,0.3333
coreutils::O0::stty,sane_mode,0.25,0.5,0.25
coreutils::O0::stty,set_mode,0.0,0.25,0.25
coreutils::O0::stty,set_window_size,0.5,0.75,0.25
coreutils::O0::tac,copy_to_temp,0.5,0.625,0.125
coreutils::O0::tac,main,0.6667,0.8889,0.2222
coreutils::O0::tac,tac_nonseekable,0.6667,0.8333,0.1667
coreutils::O0::tac,tac_seekable,0.8095,0.9524,0.1429
coreutils::O0::tac,temp_stream,0.1429,0.4286,0.2857
coreutils::O0::tail,check_fspec,0.5,0.6667,0.1667
coreutils::O0::tail,close_fd,0.5,1.0,0.5
coreutils::O0::tail,fremote,0.6667,0.8333,0.1667
coreutils::O0::tail,parse_obsolete_option,0.7692,0.9231,0.1538
coreutils::O0::tail,pipe_bytes,0.6364,0.7273,0.0909
coreutils::O0::tail,pipe_lines,0.4667,0.5333,0.0667
coreutils::O0::tail,start_bytes,0.7143,0.8571,0.1429
coreutils::O0::tail,start_lines,0.625,0.75,0.125
coreutils::O0::tail,tail_forever,0.8125,0.875,0.0625
coreutils::O0::tail,tail_lines,1.0,0.875,-0.125
coreutils::O0::tail,xlseek,0.5714,0.7143,0.1429
coreutils::O0::tee,tee_files,0.6364,0.7273,0.0909
coreutils::O0::test,binary_operator,0.619,0.7143,0.0952
coreutils::O0::test,unary_operator,0.6667,0.7778,0.1111
coreutils::O0::touch,main,0.6364,0.7273,0.0909
coreutils::O0::tr,build_spec_list,0.5,0.5714,0.0714
coreutils::O0::tr,find_bracketed_repeat,0.7273,0.8182,0.0909
coreutils::O0::tr,make_printable_char,0.5,1.0,0.5
coreutils::O0::truncate,do_ftruncate,0.9167,1.0,0.0833
coreutils::O0::truncate,main,0.9375,1.0,0.0625
coreutils::O0::unexpand,parse_tab_stops,0.8889,1.0,0.1111
coreutils::O0::uptime,uptime,0.5,0.75,0.25
coreutils::O0::users,users,0.5,0.75,0.25
coreutils::O0::vdir,abformat_init,0.5556,0.7778,0.2222
coreutils::O0::vdir,align_nstrftime,0.5714,0.7143,0.1429
coreutils::O0::vdir,basename_is_dot_or_dotdot,0.5,1.0,0.5
coreutils::O0::vdir,cmp_extension,0.1667,0.5,0.3333
coreutils::O0::vdir,decode_switches,0.6875,0.8125,0.125
coreutils::O0::vdir,extract_dirs_from_files,0.625,0.75,0.125
coreutils::O0::vdir,file_escape,0.75,1.0,0.25
coreutils::O0::vdir,file_failure,0.6667,1.0,0.3333
coreutils::O0::vdir,is_colored,0.6667,1.0,0.3333
coreutils::O0::vdir,known_term_type,0.5,1.0,0.5
coreutils::O0::vdir,make_link_name,0.75,1.0,0.25
