slice,function,round_f,round_g,delta
tar::O2-noinline::tar,run_checkpoint_actions,0.25,0.5,0.25
tar::O2-noinline::tar,savedir_diag,0.0,1.0,1.0
tar::O2-noinline::tar,seek_diag_details,0.0,1.0,1.0
tar::O2-noinline::tar,set_stat,0.5455,0.6364,0.0909
tar::O2-noinline::tar,size_coder,0.0,0.25,0.25
tar::O2-noinline::tar,sparse_major_coder,0.0,0.25,0.25
tar::O2-noinline::tar,sparse_minor_coder,0.0,0.25,0.25
tar::O2-noinline::tar,sparse_numblocks_coder,0.0,0.25,0.25
tar::O2-noinline::tar,sparse_numbytes_coder,0.0,0.2,0.2
tar::O2-noinline::tar,sparse_offset_coder,0.0,0.2,0.2
tar::O2-noinline::tar,sparse_size_coder,0.0,0.25,0.25
tar::O2-noinline::tar,split_long_name,0.3333,0.6667,0.3333
tar::O2-noinline::tar,stat_diag,0.0,1.0,1.0
tar::O2-noinline::tar,subfile_open,0.125,0.25,0.125
tar::O2-noinline::tar,uname_coder,0.0,0.25,0.25
tar::O2-noinline::tar,xattr_selinux_coder,0.0,0.25,0.25
tar::O2-noinline::tar,xattrs_mask_add,0.3333,0.6667,0.3333
tar::O2-noinline::tar,xattrs_selinux_get,0.4,0.6,0.2
tar::O2-noinline::tar,xattrs_xattrs_get,0.3333,0.4167,0.0833
tar::O2::tar,checkpoint_run,0.2,0.4,0.2
tar::O2::tar,fd_chmod,0.125,0.25,0.125
tar::O2::tar,finish_header,0.0,0.1667,0.1667
tar::O2::tar,gname_coder,0.0,0.25,0.25
tar::O2::tar,hash_directory_canonical_name,0.3333,0.6667,0.3333
tar::O2::tar,linkpath_coder,0.0,0.25,0.25
tar::O2::tar,name_hash,0.3333,0.6667,0.3333
tar::O2::tar,open_diag,0.0,1.0,1.0
tar::O2::tar,path_coder,0.0,0.25,0.25
tar::O2::tar,read_diag_details,0.0,1.0,1.0
tar::O2::tar,readlink_diag,0.0,1.0,1.0
tar::O2::tar,rebase_directory,0.0,0.6,0.6
tar::O2::tar,replace_prefix,0.1538,0.2308,0.0769
tar::O2::tar,savedir_diag,0.0,1.0,1.0
tar::O2::tar,seek_diag_details,0.0,1.0,1.0
tar::O2::tar,stat_diag,0.0,1.0,1.0
tar::O2::tar,subfile_open,0.125,0.25,0.125
tar::O2::tar,transform_name,0.0,1.0,1.0
tar::O2::tar,uname_coder,0.0,0.25,0.25
tar::O2::tar,xattr_selinux_coder,0.0,0.25,0.25
tar::O2::tar,xattrs_selinux_get,0.4,0.6,0.2
tar::O2::tar,xattrs_xattrs_get,0.3333,0.4167,0.0833
