slice,function,round_f,round_g,delta
coreutils::O0::od,simple_strtoul,0.8,1.0,0.2
coreutils::O0::pathchk,component_len,0.5,1.0,0.5
coreutils::O0::pinky,long_pinky,0.6667,1.0,0.3333
coreutils::O0::rm,diagnose_leading_hyphen,0.8,1.0,0.2
coreutils::O0::runcon,main,0.6,0.6667,0.0667
coreutils::O0::shuf,input_from_argv,0.8571,1.0,0.1429
coreutils::O0::shuf,write_permuted_lines,0.5,0.6667,0.1667
coreutils::O0::shuf,write_random_lines,0.625,0.75,0.125
coreutils::O0::sort,create_temp_file,0.4545,0.5455,0.0909
coreutils::O0::sort,general_numcompare,0.1667,0.8333,0.6667
coreutils::O0::sort,nan_compare,0.0,0.5,0.5
coreutils::O0::stat,make_format,0.8571,1.0,0.1429
coreutils::O0::vdir,dired_outbuf,0.5,1.0,0.5
coreutils::O0::vdir,do_lstat,0.0,0.5,0.5
coreutils::O0::vdir,do_stat,0.0,0.5,0.5
coreutils::O0::vdir,do_statx,0.625,0.75,0.125
coreutils::O0::vdir,file_has_acl_cache,0.25,0.5,0.25
coreutils::O0::vdir,getfilecon_cache,0.4,0.6,0.2
coreutils::O0::vdir,gobble_file,0.697,0.6061,-0.0909
coreutils::O0::vdir,has_capability_cache,0.25,0.5,0.25
coreutils::O0::vdir,stat_for_ino,0.0,0.5,0.5
coreutils::O0::vdir,stat_for_mode,0.0,0.5,0.5
coreutils::O2-noinline::chcon,compute_context_from_mask,0.0,0.2,0.2
coreutils::O2-noinline::chgrp,restricted_chown,0.3333,0.3889,0.0556
coreutils::O2-noinline::chown,restricted_chown,0.3333,0.3889,0.0556
coreutils::O2-noinline::chroot,main,0.2917,0.375,0.0833
coreutils::O2-noinline::cp,abandon_move,0.3333,0.5,0.1667
coreutils::O2-noinline::cp,computecon,0.1111,0.4444,0.3333
coreutils::O2-noinline::cp,defaultcon,0.1818,0.3636,0.1818
coreutils::O2-noinline::cp,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::cp,fchmod_or_lchmod,0.75,1.0,0.25
coreutils::O2-noinline::cp,force_linkat,0.2727,0.5455,0.2727
coreutils::O2-noinline::cp,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2-noinline::cp,main,0.4167,0.75,0.3333
coreutils::O2-noinline::cp,overwrite_ok,0.375,0.5,0.125
coreutils::O2-noinline::cp,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2-noinline::cp,samedir_template,0.0,0.1,0.1
coreutils::O2-noinline::cp,set_process_security_ctx,0.25,0.375,0.125
coreutils::O2-noinline::cp,try_link,0.0,0.3333,0.3333
coreutils::O2-noinline::cp,try_symlink,0.0,0.3333,0.3333
coreutils::O2-noinline::cp,writable_destination,0.6667,1.0,0.3333
coreutils::O2-noinline::csplit,check_for_offset,0.3333,0.6667,0.3333
coreutils::O2-noinline::df,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::df,me_for_dev,0.0,0.5,0.5
coreutils::O2-noinline::dir,dired_outbuf,0.5,1.0,0.5
coreutils::O2-noinline::dir,do_lstat,0.0,0.5,0.5
coreutils::O2-noinline::dir,do_stat,0.0,0.5,0.5
coreutils::O2-noinline::dir,do_statx,0.25,0.5,0.25
coreutils::O2-noinline::dir,file_has_acl_cache,0.0,0.25,0.25
coreutils::O2-noinline::dir,getfilecon_cache,0.2,0.4,0.2
coreutils::O2-noinline::dir,stat_for_ino,0.0,0.5,0.5
coreutils::O2-noinline::dir,stat_for_mode,0.0,0.5,0.5
coreutils::O2-noinline::ginstall,abandon_move,0.3333,0.5,0.1667
coreutils::O2-noinline::ginstall,change_attributes,0.5,0.75,0.25
coreutils::O2-noinline::ginstall,change_timestamps,0.4,0.6,0.2
coreutils::O2-noinline::ginstall,computecon,0.1111,0.4444,0.3333
coreutils::O2-noinline::ginstall,copy_file,0.6667,0.8333,0.1667
coreutils::O2-noinline::ginstall,defaultcon,0.1818,0.3636,0.1818
coreutils::O2-noinline::ginstall,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::ginstall,fchmod_or_lchmod,0.75,1.0,0.25
coreutils::O2-noinline::ginstall,force_linkat,0.2727,0.5455,0.2727
coreutils::O2-noinline::ginstall,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2-noinline::ginstall,need_copy,0.3,0.35,0.05
coreutils::O2-noinline::ginstall,overwrite_ok,0.375,0.5,0.125
coreutils::O2-noinline::ginstall,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2-noinline::ginstall,samedir_template,0.0,0.1,0.1
coreutils::O2-noinline::ginstall,set_process_security_ctx,0.25,0.375,0.125
coreutils::O2-noinline::ginstall,setdefaultfilecon,0.5,0.75,0.25
coreutils::O2-noinline::ginstall,try_link,0.0,0.3333,0.3333
coreutils::O2-noinline::ginstall,try_symlink,0.0,0.3333,0.3333
coreutils::O2-noinline::ginstall,writable_destination,0.6667,1.0,0.3333
coreutils::O2-noinline::groups,print_group_list,0.4545,0.5455,0.0909
coreutils::O2-noinline::head,elide_tail_lines_file,0.3333,0.6667,0.3333
coreutils::O2-noinline::id,print_full_info,0.0,0.0625,0.0625
coreutils::O2-noinline::id,print_group_list,0.4545,0.5455,0.0909
coreutils::O2-noinline::id,print_stuff,0.0,1.0,1.0
coreutils::O2-noinline::kill,send_signals,0.2857,0.4286,0.1429
coreutils::O2-noinline::ln,atomic_link,0.3333,1.0,0.6667
coreutils::O2-noinline::ln,convert_abs_rel,0.1667,0.3333,0.1667
coreutils::O2-noinline::ln,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::ln,force_linkat,0.2727,0.5455,0.2727
coreutils::O2-noinline::ln,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2-noinline::ln,samedir_template,0.0,0.1,0.1
coreutils::O2-noinline::ln,try_link,0.0,0.3333,0.3333
coreutils::O2-noinline::ln,try_symlink,0.0,0.3333,0.3333
coreutils::O2-noinline::ls,dired_outbuf,0.5,1.0,0.5
coreutils::O2-noinline::ls,do_lstat,0.0,0.5,0.5
coreutils::O2-noinline::ls,do_stat,0.0,0.5,0.5
coreutils::O2-noinline::ls,do_statx,0.25,0.5,0.25
coreutils::O2-noinline::ls,file_has_acl_cache,0.0,0.25,0.25
coreutils::O2-noinline::ls,getfilecon_cache,0.2,0.4,0.2
coreutils::O2-noinline::ls,stat_for_ino,0.0,0.5,0.5
coreutils::O2-noinline::ls,stat_for_mode,0.0,0.5,0.5
coreutils::O2-noinline::mkdir,computecon,0.1111,0.4444,0.3333
coreutils::O2-noinline::mkdir,defaultcon,0.1818,0.3636,0.1818
coreutils::O2-noinline::mkdir,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::mkdir,main,0.2222,0.3333,0.1111
coreutils::O2-noinline::mkdir,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2-noinline::mkfifo,computecon,0.1111,0.4444,0.3333
coreutils::O2-noinline::mkfifo,defaultcon,0.1818,0.3636,0.1818
