direction,slice,function,base,test
better,coreutils::O0::ginstall,abandon_move,0.16666666666666666,0.3333333333333333
better,coreutils::O0::ginstall,create_hard_link,0.36363636363636365,0.6363636363636364
better,coreutils::O0::ginstall,copy_internal,0.6031746031746031,0.6507936507936508
better,coreutils::O0::ginstall,copy,0.3,0.4
better,coreutils::O0::seq,long_double_format,0.6666666666666666,0.7777777777777778
better,coreutils::O0::stty,apply_settings,0.5,0.5714285714285714
better,coreutils::O0::stty,set_window_size,0.5,0.75
better,coreutils::O0::stty,display_window_size,0.0,0.3333333333333333
better,coreutils::O0::stty,display_settings,0.3333333333333333,0.6666666666666666
better,coreutils::O0::stty,display_all,0.42857142857142855,0.5714285714285714
better,coreutils::O0::tac,tac_seekable,0.8095238095238095,0.8571428571428571
better,coreutils::O0::tac,copy_to_temp,0.5,0.625
better,coreutils::O0::tac,tac_nonseekable,0.6666666666666666,0.8333333333333334
better,coreutils::O0::split,closeout,0.7777777777777778,0.8888888888888888
better,coreutils::O0::mv,do_move,0.15384615384615385,0.23076923076923078
better,coreutils::O0::mv,sparse_copy,0.625,0.7083333333333334
better,coreutils::O0::mv,lseek_copy,0.7,0.8
better,coreutils::O0::mv,copy_attr_quote,0.0,0.5
better,coreutils::O0::mv,set_owner,0.6470588235294118,0.7058823529411765
better,coreutils::O0::mv,set_process_security_ctx,0.625,0.75
better,coreutils::O0::mv,overwrite_ok,0.3333333333333333,0.5
better,coreutils::O0::mv,abandon_move,0.16666666666666666,0.3333333333333333
better,coreutils::O0::mv,create_hard_link,0.36363636363636365,0.6363636363636364
better,coreutils::O0::mv,copy_internal,0.6031746031746031,0.6507936507936508
better,coreutils::O0::mv,copy,0.3,0.4
better,coreutils::O0::tr,find_bracketed_repeat,0.7272727272727273,0.8181818181818182
better,coreutils::O0::tr,build_spec_list,0.5,0.5714285714285714
better,coreutils::O0::users,users,0.5,0.75
better,coreutils::O0::tail,xlseek,0.5714285714285714,0.7142857142857143
better,coreutils::O0::tail,pipe_lines,0.4666666666666667,0.5333333333333333
better,coreutils::O0::tail,pipe_bytes,0.6363636363636364,0.7272727272727273
better,coreutils::O0::tail,start_bytes,0.7142857142857143,0.8571428571428571
better,coreutils::O0::tail,start_lines,0.625,0.75
better,coreutils::O0::tail,fremote,0.6666666666666666,0.8333333333333334
better,coreutils::O0::who,who,0.5,0.75
better,coreutils::O0::uptime,uptime,0.5,0.75
better,coreutils::O0::wc,wc_lines,0.75,0.8333333333333334
better,coreutils::O0::wc,wc_lines_avx2,0.10714285714285714,0.14285714285714285
better,coreutils::O2-noinline::cp,copy,0.3,0.4
